name,website,stage,focus_areas,location,check_size
Engine Ventures,https://www.engine.xyz,Seed Series A,"Hard Tech Science Deep Tech",Cambridge MA,$500K-$3M
Enlightenment Capital,https://www.enlightenmentcapital.com,Series A Growth,"Defense Aerospace Government",Chevy Chase MD,$5M-$30M
Entrekin Ventures,https://www.entrekinventures.com,Seed Series A,"Software Enterprise",Nashville TN,$500K-$2M
Entropy Ventures,https://www.entvc.com,Seed Series A,"Cybersecurity Privacy",New York NY,$500K-$3M
Equal Ventures,https://equalventures.com,Seed Series A,"Financial Inclusion Healthcare",New York NY,$1M-$5M
Equidad Ventures,https://www.equidad.vc,Pre-Seed Seed,"Latinx Founders",Miami FL,$100K-$500K
Erib Ventures,https://www.eribventures.com,Seed,"Frontier Markets Technology",Dubai UAE,$250K-$1.5M
ETF Partners,https://etfpartners.capital,Series A,"Sustainability Climate",London UK,$2M-$10M
Ethos Ventures,https://ethosventures.vc,Seed,"Ethics AI Values-driven",Berkeley CA,$250K-$1M
EV Star Capital,https://www.evstarcap.com,Series A,"EV Charging Infrastructure",Seoul South Korea,$2M-$10M
Evok Innovations,https://www.evokinnovations.com,Seed Series A,"Clean Energy Canada",Burnaby Canada,$1M-$5M
EVVC (European Venture Valley Capital),https://www.evvc.eu,Seed,"Eastern Europe Deep Tech",Warsaw Poland,$500K-$2M
Excedr VC,https://www.excedr.com,Seed,"Life Sciences Lab Equipment",San Francisco CA,$500K-$2M
Expa,https://expa.com,Pre-Seed Seed,"Product-Led Consumer",San Francisco CA,$500K-$2M
Expeditions Fund,https://www.expeditionsfund.com,Seed Series A,"Outdoor Recreation Sports",Denver CO,$250K-$2M
Extra Capital,https://www.extra.capital,Pre-Seed Seed,"Technology Sector Agnostic",Amsterdam Netherlands,$250K-$1.5M
F-Prime Capital,https://www.f-prime.com,Seed Series A,"Healthcare Technology",Cambridge MA,$1M-$10M
FabricNano,https://www.fabricnano.com,Seed Series A,"Synthetic Biology",London UK,$500K-$5M
Falcon Venture Capital,https://www.falconvc.com,Series A,"Middle East Technology",Riyadh Saudi Arabia,$2M-$15M
Fallstreak Capital,https://fallstreakvc.com,Seed Series A,"Climate Sustainability",San Francisco CA,$500K-$3M
FAN Capital,https://www.fancapital.com.br,Seed Series A,"Brazil Technology",Sao Paulo Brazil,$500K-$2M
Farfetch Dream Assembly,https://www.farfetch.com,Seed,"Fashion Retail Technology",London UK,
Farmer's Business Network Ventures,https://fbn.vc,Seed Series A,"AgTech Precision Agriculture",San Mateo CA,$1M-$5M
Fasanara Capital,https://www.fasanara.com,Series A,"Fintech Alternative Finance",London UK,$3M-$15M
Fenway Summer Ventures,https://www.fenwaysummer.com,Seed,"Fintech Financial Services",New York NY,$500K-$2M
Fika Ventures,https://www.fika.vc,Seed Series A,"Data Network Effects",Los Angeles CA,$500K-$3M
Fin Capital,https://www.fin.capital,Seed Series A,"Fintech Enterprise",San Francisco CA,$1M-$5M
Finback Investment Partners,https://finback.com,Series A Growth,"Financial Services Technology",Atlanta GA,$2M-$15M
Finnegan Ventures,https://www.finneganventures.com,Seed Series A,"IP Legal Technology",Washington DC,$500K-$2M
First Analysis Venture Capital,https://www.firstanalysis.com,Series A Series B,"Healthcare Technology",Chicago IL,$3M-$15M
First Check Africa,https://firstcheck.africa,Pre-Seed Seed,"Africa Technology",Lagos Nigeria,$50K-$250K
First Light Capital Group,https://firstlightcapital.com,Series A Growth,"Technology Canada",Vancouver Canada,$2M-$10M
First Round Capital,https://firstround.com,Pre-Seed Seed,"Technology Sector Agnostic",San Francisco CA,$500K-$3M
Firstminute Capital,https://firstminute.capital,Seed Series A,"European Technology",London UK,$500K-$3M
Fitlab Ventures,https://www.fitlabventures.com,Seed,"Fitness Health Wellness",Scottsdale AZ,$250K-$1M
FLEDGE,https://www.fledge.co,Seed,"Social Enterprise Impact",Seattle WA,$100K-$500K
Fleur Capital,https://www.fleurcapital.com,Seed Series A,"Consumer Women-led",London UK,$500K-$2M
Float Capital,https://www.float.capital,Seed,"Africa Technology",Cape Town South Africa,$250K-$1M
Flywheel Fund,https://www.flywheelfund.com,Seed Series A,"Southeast US Technology",Nashville TN,$250K-$2M
Fond Venture Capital,https://fondvc.com,Pre-Seed Seed,"Philippines Technology",Manila Philippines,$100K-$500K
Footprint Coalition Ventures,https://www.footprintcoalition.com,Seed,"Climate Sustainability",Los Angeles CA,$500K-$3M
Forerunner Ventures,https://www.forerunnerventures.com,Seed Series A,"Consumer Commerce",San Francisco CA,$1M-$5M
Forma Ventures,https://www.formaventures.com,Seed,"Digital Health",New York NY,$500K-$2M
Foundation Capital,https://foundationcap.com,Seed Series A,"Enterprise AI Fintech",Menlo Park CA,$1M-$10M
Foundry Group,https://www.foundrygroup.com,Seed Series A,"Software Technology",Boulder CO,$1M-$10M
Foxhaven Asset Management,https://www.foxhavenam.com,Growth Late,"Technology Internet",Baltimore MD,
Framework Venture Partners,https://www.frameworkvp.com,Seed Series A,"Canada Technology SaaS",Toronto Canada,$1M-$5M
Friction Capital,https://friction.capital,Seed,"Commerce Marketplace",New York NY,$250K-$1.5M
Frontier Ventures,https://www.frontierventures.com,Seed Series A,"Emerging Markets Southeast Asia",Nairobi Kenya,$500K-$2M
FuelVC,https://www.fuel.vc,Seed,"Kentucky Midwest Technology",Louisville KY,$250K-$1M
Future Africa,https://future.africa,Pre-Seed Seed,"Africa Technology",Lagos Nigeria,$50K-$250K
Future Positive Capital,https://www.futurepositive.vc,Seed Series A,"AI Climate Healthcare",London UK,$1M-$5M
Future Shape,https://www.futureshape.vc,Seed Series A,"Deep Tech Science",San Francisco CA,$500K-$3M
FutureX Capital,https://www.futurex.capital,Seed,"Singapore Southeast Asia",Singapore,$500K-$2M
Ganesha Ventures,https://ganesh.vc,Pre-Seed Seed,"India Technology",Bengaluru India,$100K-$500K
Garden Capital,https://garden.capital,Seed,"Developer Tools Infrastructure",New York NY,$500K-$2M
Garuda Ventures,https://garudaventures.com,Seed Series A,"Indonesia Technology",Jakarta Indonesia,$500K-$2M
Gate.io Ventures,https://www.gate.io/ventures,Seed,"Web3 Crypto DeFi",Cayman Islands,$1M-$5M
Gauntlet Networks,https://gauntlet.network,Seed,"DeFi Crypto Risk",New York NY,$500K-$3M
Gemini Frontier Fund,https://www.gemini.com/frontier-fund,Seed,"Crypto Web3",New York NY,$1M-$5M
Generation Investment Management,https://www.generationim.com,Series B Growth,"Sustainability Climate",London UK,
Genuine Capital,https://genuinecapital.co,Pre-Seed Seed,"Emerging Managers Technology",New York NY,$100K-$500K
GGV Capital,https://www.ggvc.com,Seed Series A Series B,"US China Technology",Menlo Park CA,$1M-$15M
GingerBread Capital,https://gingerbreadcapital.com,Seed Series A,"Food Beverage Consumer",New York NY,$500K-$2M
Glilot Capital Partners,https://www.glilot.com,Seed Series A,"Cybersecurity Enterprise",Tel Aviv Israel,$1M-$5M
Glob Capital,https://glob.capital,Seed,"MENA Technology",Dubai UAE,$500K-$2M
Global Founders Capital,https://www.globalfounderscapital.com,Seed Series A,"Technology Global",Berlin Germany,$500K-$5M
Golden Section,https://goldensection.vc,Seed Series A,"B2B SaaS",Houston TX,$500K-$3M
Golden Triangle Angel Network,https://www.gtan.ca,Pre-Seed Seed,"Canada Technology",Ottawa Canada,$100K-$500K
Golub Capital,https://www.golubcapital.com,Growth,"Technology Software",New York NY,
Good Company Ventures,https://goodcompanyventures.com,Seed,"Social Impact",Philadelphia PA,$250K-$1M
Good Growth Capital,https://www.goodgrowthcap.com,Seed Series A,"AgriFood Sustainability",Singapore,$500K-$2M
Good Judgment Capital,https://www.gjcapital.com,Seed Series A,"AI Data",New York NY,$500K-$2M
GoodFunds,https://www.goodfunds.vc,Pre-Seed Seed,"Consumer Social",Paris France,$100K-$500K
Google for Startups Fund,https://startup.google.com/fund,Seed,"Underrepresented Founders",Mountain View CA,$100K-$350K
Gradient Ventures,https://www.gradient.com,Seed Series A,"AI Machine Learning",Mountain View CA,$1M-$5M
Grand Ventures,https://www.grandventures.com,Seed Series A,"Midwest Technology",Grand Rapids MI,$250K-$2M
Grasshopper Capital,https://www.grasshoppercap.com,Seed,"Music Creative Industries",Los Angeles CA,$250K-$1M
Gravity Capital,https://www.gravitycapital.com,Series A Series B,"Healthcare Medtech",Minneapolis MN,$3M-$15M
Green D Ventures,https://www.greendventures.com,Series A,"Social Impact Climate",New York NY,$2M-$10M
Green Generation Fund,https://greengenerationfund.com,Seed,"Climate Agriculture",San Francisco CA,$500K-$2M
GreenHouse Capital,https://www.greenhouse.vc,Seed,"Africa Climate Sustainability",Cape Town South Africa,$250K-$1M
Greenwich Associates Ventures,https://www.greenwich.com,Growth,"Financial Services",Stamford CT,
Greylock Israel,https://www.greylock.com,Seed Series A,"Israel Technology",Tel Aviv Israel,$1M-$5M
Griffin Gaming Partners,https://www.griffingaming.com,Seed Series A Series B,"Gaming Interactive Entertainment",Westlake Village CA,$2M-$15M
Groundup Ventures,https://www.groundupventures.com,Pre-Seed Seed,"Chicago Technology",Chicago IL,$100K-$500K
Grove Ventures,https://www.grovevc.com,Seed Series A,"Israel Deep Tech",Tel Aviv Israel,$1M-$5M
Growth Equity Partners,https://www.growthequitypartners.com,Growth,"Business Services SaaS",Atlanta GA,$5M-$25M
GT Healthcare Partners,https://www.gthealthcare.com,Series A Growth,"Healthcare Private Equity",Chicago IL,$5M-$30M
Guided Capital,https://www.guidedcapital.com,Seed Series A,"B2B SaaS",Denver CO,$500K-$2M
Guild Capital,https://guildcapital.com,Seed,"Black Founders Diversity",Chicago IL,$250K-$1M
Gutbrain Ventures,https://gutbrain.vc,Seed,"Nutrition Health Longevity",New York NY,$250K-$1M
H/L Ventures,https://hlventures.com,Seed,"Heartland Midwest Technology",Kansas City MO,$250K-$1M
HAX,https://hax.co,Pre-Seed Seed,"Hardware Deep Tech",Newark NJ,$250K-$1M
Harbinger Ventures,https://harbingerventures.com,Seed Series A,"Consumer Women Founders",Seattle WA,$500K-$2M
HarbourVest Partners,https://www.harbourvest.com,Fund of Funds Growth,"Private Equity Venture",Boston MA,
Harpoon Ventures,https://www.harpoonvc.com,Seed Series A,"Defense Aerospace Dual-Use",Washington DC,$1M-$5M
Hawktail,https://www.hawktail.vc,Seed,"Nordic Technology",Helsinki Finland,$250K-$1.5M
HC9 Ventures,https://hc9.vc,Seed Series A,"Healthcare Digital Health",Minneapolis MN,$500K-$2M
Healthy Ventures,https://www.healthyventures.com,Seed Series A,"Women Health FemTech",San Francisco CA,$500K-$2M
HearstLab,https://www.hearstlab.com,Seed,"Women Founders Consumer Media",New York NY,$500K-$2M
Heid Capital,https://heidcapital.com,Seed Series A,"German Technology",Munich Germany,$500K-$3M
Helios Investment Partners,https://www.heliosinvestment.com,Growth,"Africa Private Equity",London UK,
Heuristic Capital,https://heuristic.capital,Seed Series A,"AI Machine Learning",San Francisco CA,$500K-$3M
Hikma Ventures,https://www.hikmaventures.com,Pre-Seed Seed,"Arab Founders MENA",San Francisco CA,$100K-$500K
Hillsven Capital,https://hillsven.com,Seed Series A,"Technology B2B",San Francisco CA,$500K-$2M
Hiroo Investment,https://www.hirooinvestment.com,Seed Series A,"Japan Technology",Tokyo Japan,$500K-$3M
HMM Capital,https://www.hmmcapital.com,Series A,"Shipping Maritime Technology",Seoul South Korea,$2M-$10M
Homebrew,https://www.homebrew.co,Seed Series A,"Consumer Enterprise",San Francisco CA,$500K-$2M
Hone Capital,https://www.honecap.com,Seed,"Technology Sector Agnostic",San Francisco CA,$250K-$1.5M
HorizonX Ventures,https://www.boeing.com/horizonx,Series A Series B,"Aerospace Industrial",Chicago IL,$5M-$25M
Horizons Beta,https://horizons.beta.vc,Pre-Seed Seed,"Africa Technology",Lagos Nigeria,$50K-$250K
Hu Ventures,https://www.huventures.co,Seed Series A,"Diversity Founders Technology",San Francisco CA,$250K-$1.5M
Human Ventures,https://www.humanventures.com,Seed,"Consumer Technology",New York NY,$500K-$2M
Humanly Ventures,https://humanlyventures.com,Seed,"HR Tech Future of Work",Seattle WA,$250K-$1M
Hyperedge Ventures,https://www.hyperedgevc.com,Pre-Seed Seed,"B2B SaaS Enterprise",New York NY,$250K-$1M
iAngels,https://www.iangels.com,Pre-Seed Seed,"Israel Technology",Tel Aviv Israel,$250K-$2M
ICU Medical Ventures,https://www.icumedical.com,Series A,"Medical Devices Healthcare",San Clemente CA,
iD Ventures America,https://www.idventures.com,Seed Series A,"US-Taiwan Technology",San Jose CA,$500K-$3M
Illuminate Ventures,https://illuminate.com,Seed Series A,"Enterprise Technology",Oakland CA,$500K-$3M
iM Ventures,https://www.im.vc,Seed Series A,"Israel Mobile Technology",Tel Aviv Israel,$500K-$3M
Impact America Fund,https://impactamericafund.com,Seed Series A,"Urban Innovation Impact",Birmingham AL,$500K-$2M
